Name,Canal,Division,Circle,Zone,Lat,Long,Structure Type
AR Bridge at RD 114+000,MR Link Canal,Pasrur Link Sialkot,UCC,Lahore,32.37430302,74.41551029,Bridge
Syphon at RD 117+000,MR Link Canal,Pasrur Link Sialkot,UCC,Lahore,32.36677783,74.42012412,Syphon
VR Bridgeat RD 124+040,MR Link Canal,Pasrur Link Sialkot,UCC,Lahore,32.34852294,74.42654501,Bridge
Inletat RD 131+500,MR Link Canal,Pasrur Link Sialkot,UCC,Lahore,32.33630449,74.44525565,Inlet
DR Bridgeat RD 133+660,MR Link Canal,Pasrur Link Sialkot,UCC,Lahore,32.33302714,74.45094881,Bridge
Syphon & Barrelat RD 134+600,MR Link Canal,Pasrur Link Sialkot,UCC,Lahore,32.33209702,74.45410575,Syphon
REG Bridgeat RD 138+500,MR Link Canal,Pasrur Link Sialkot,UCC,Lahore,32.3271834,74.46532439,Bridge
Inletat RD 139+500,MR Link Canal,Pasrur Link Sialkot,UCC,Lahore,32.32622826,74.4685797,Inlet
VR Bridge at RD142+900,MR Link Canal,Pasrur Link Sialkot,UCC,Lahore,32.32193461,74.47704433,Bridge
VR Bridgeat RD 153+000,MR Link Canal,Pasrur Link Sialkot,UCC,Lahore,32.30805745,74.50552984,Bridge
AR Bridgeat RD 162+350,MR Link Canal,Pasrur Link Sialkot,UCC,Lahore,32.29319877,74.53149949,Bridge
Escapeat RD 168+900,MR Link Canal,Pasrur Link Sialkot,UCC,Lahore,32.28206061,74.5479998,Other
Inlet at RD 169+500,MR Link Canal,Pasrur Link Sialkot,UCC,Lahore,32.28228947,74.5500815,Inlet
Syphon at RD 170+050,MR Link Canal,Pasrur Link Sialkot,UCC,Lahore,32.28078189,74.5516648,Syphon
Syphon at RD 171+700,MR Link Canal,Pasrur Link Sialkot,UCC,Lahore,32.27809186,74.55590576,Syphon
VR Bridge at RD 173+000,MR Link Canal,Pasrur Link Sialkot,UCC,Lahore,32.27557982,74.55903673,Bridge
Inlet at RD 173+500,MR Link Canal,Pasrur Link Sialkot,UCC,Lahore,32.27520874,74.56084035,Inlet
Syphon at RD 178+850,MR Link Canal,Pasrur Link Sialkot,UCC,Lahore,32.26728021,74.5758789,Syphon
Inlet at RD 179+700,MR Link Canal,Pasrur Link Sialkot,UCC,Lahore,32.26649326,74.57779305,Inlet
VR Bridge at RD 185+166,MR Link Canal,Pasrur Link Sialkot,UCC,Lahore,32.25775199,74.59235526,Bridge
Syphon at RD 190+850,MR Link Canal,Pasrur Link Sialkot,UCC,Lahore,32.2435811,74.59964161,Syphon
Inlet at RD 191+840,MR Link Canal,Pasrur Link Sialkot,UCC,Lahore,32.2409689,74.60060026,Inlet
REG Bridge at RD 193+500,MR Link Canal,Pasrur Link Sialkot,UCC,Lahore,32.23644152,74.60172579,Bridge
AR Bridge at RD 195+425,MR Link Canal,Pasrur Link Sialkot,UCC,Lahore,32.23082652,74.60338459,Bridge
HR of Bhalar Minor at RD 199+000,MR Link Canal,Pasrur Link Sialkot,UCC,Lahore,32.2216389,74.60554328,Minor
Inlet at RD 202+365,MR Link Canal,Pasrur Link Sialkot,UCC,Lahore,32.21315488,74.60992971,Inlet
Syphon at RD 202+865,MR Link Canal,Pasrur Link Sialkot,UCC,Lahore,32.21183629,74.61042772,Syphon
VR Bridge at RD 203+841,MR Link Canal,Pasrur Link Sialkot,UCC,Lahore,32.20923993,74.61124085,Bridge
Syphon at RD 208+500,MR Link Canal,Pasrur Link Sialkot,UCC,Lahore,32.19966155,74.62076678,Syphon
Inlet at RD 209+200,MR Link Canal,Pasrur Link Sialkot,UCC,Lahore,32.19868011,74.62242227,Inlet
VR Bridge at RD 210+304,MR Link Canal,Pasrur Link Sialkot,UCC,Lahore,32.1964786,74.62485333,Bridge
HR of Daduwali Disty at RD 215+000,MR Link Canal,Pasrur Link Sialkot,UCC,Lahore,32.18710857,74.63558201,Disty
Inlet at RD 215+200,MR Link Canal,Pasrur Link Sialkot,UCC,Lahore,32.18718723,74.63717598,Inlet
Fall Trough Syphon at RD 220+122,MR Link Canal,Pasrur Link Sialkot,UCC,Lahore,32.17444993,74.64238368,Syphon
VR Bridge at RD 227+950,MR Link Canal,Pasrur Link Sialkot,UCC,Lahore,32.15410489,74.65067833,Bridge
Syphon at RD 230+750,MR Link Canal,Pasrur Link Sialkot,UCC,Lahore,32.14765048,74.65568246,Syphon
Kotli Disty at RD 236+330,MR Link Canal,Pasrur Link Sialkot,UCC,Lahore,32.13207608,74.66249772,Disty
Disty at RD 237+138,MR Link Canal,Pasrur Link Sialkot,UCC,Lahore,32.13128973,74.66262455,Disty
VR Bridge at RD 237+230,MR Link Canal,Pasrur Link Sialkot,UCC,Lahore,32.13108729,74.66342222,Bridge
Inlet at RD 237+600,MR Link Canal,Pasrur Link Sialkot,UCC,Lahore,32.13023561,74.66425957,Inlet
VR Bridge at RD 244+100,MR Link Canal,Pasrur Link Sialkot,UCC,Lahore,32.11386619,74.66676104,Bridge
Fall & VR Bridge at RD 249+850,MR Link Canal,Pasrur Link Sialkot,UCC,Lahore,32.10170021,74.66876635,Bridge
Inlet at RD 250+825,MR Link Canal,Pasrur Link Sialkot,UCC,Lahore,32.10013476,74.66990314,Inlet
Fall & DR Bridge at RD 265+998,MR Link Canal,Pasrur Link Sialkot,UCC,Lahore,32.0967687,74.66963852,Bridge
Foot Bridge at RD 273+365,MR Link Canal,Pasrur Link Sialkot,UCC,Lahore,32.06619085,74.6657894,Bridge
VR Bridge at RD 278+660,MR Link Canal,Pasrur Link Sialkot,UCC,Lahore,32.05553329,74.66175535,Bridge
Syphon at RD 281+500,MR Link Canal,Pasrur Link Sialkot,UCC,Lahore,32.04291919,74.65824144,Syphon
VR Bridge at RD 286+250,MR Link Canal,Pasrur Link Sialkot,UCC,Lahore,32.0330138,74.65278124,Bridge
VR Bridge at RD 291+925,MR Link Canal,Pasrur Link Sialkot,UCC,Lahore,32.02281884,74.64340153,Bridge
Syphon at RD 294+750,MR Link Canal,Pasrur Link Sialkot,UCC,Lahore,32.01632628,74.6381881,Syphon
Out Fall & DR Bridge at RD 302+496,MR Link Canal,Pasrur Link Sialkot,UCC,Lahore,31.97357472,74.64005979,Bridge
Inlet at RD 304+300 Washed Away,MR Link Canal,Pasrur Link Sialkot,UCC,Lahore,31.96803681,74.64277355,Inlet
VR Bridge at RD 310+650,MR Link Canal,Pasrur Link Sialkot,UCC,Lahore,31.96040413,74.64217473,Bridge
Sub Out Fall at RD 313+500,MR Link Canal,Pasrur Link Sialkot,UCC,Lahore,31.93999319,74.63230646,Other
Creek Marowal,MR Link Canal,Pasrur Link Sialkot,UCC,Lahore,31.92937151,74.62479483,Other
River Ravi,MR Link Canal,Pasrur Link Sialkot,UCC,Lahore,31.89598458,74.61979631,Other
H/R of Talwandi Disty at RD 13+608,UCC,Gujranwala,UCC,Lahore,32.32458149,74.28192891,Disty
H/R of Naushera Disty at RD 117+850,UCC,Gujranwala,UCC,Lahore,32.05703164,74.19741569,Disty
H/R C.H.W Disty at RD 121+832,UCC,Gujranwala,UCC,Lahore,32.04627832,74.20214375,Disty
H/R Sheikhupura Disty at RD 162+900,UCC,Gujranwala,UCC,Lahore,31.95302347,74.1406834,Disty
H/R Harpoki Disty at RD 163+300,UCC,Gujranwala,UCC,Lahore,31.95175773,74.14148837,Disty
H/R Akbar Disty at RD 163+700,UCC,Gujranwala,UCC,Lahore,31.95094938,74.14010162,Disty
H/R Of Sant Pura at RD 208+800,UCC,Gujranwala,UCC,Lahore,31.83087275,74.12937315,Other
H/R Mangtanwala Feeder at RD 282+855,UCC,Gujranwala,UCC,Lahore,31.63190407,74.10157351,Feeder
CHW R/H at RD 126+000,UCC,Gujranwala,UCC,Lahore,32.03562342,74.20413735,Other
VR Bridge at RD 231+250/VR Bridge at RD 231+350,UCC,Gujranwala,UCC,Lahore,31.77082097,74.11228358,Bridge
DR Bridge at RD 241+750/ DR Bridge at RD 242+015,UCC,Gujranwala,UCC,Lahore,31.74251455,74.10542141,Bridge
VR Bridge at RD 249+300/ VR Bridge at RD 249+350,UCC,Gujranwala,UCC,Lahore,31.72214636,74.10082376,Bridge
Foot Bridge at RD 8+342,UCC,Gujranwala,UCC,Lahore,32.33939018,74.28563755,Bridge
VR Bridge at RD 17+180,UCC,Gujranwala,UCC,Lahore,32.31507566,74.2798744,Bridge
Foot Bridge at RD 24+547,UCC,Gujranwala,UCC,Lahore,32.29548358,74.27527926,Bridge
Foot Bridge at RD 33+483,UCC,Gujranwala,UCC,Lahore,32.27117996,74.27087647,Bridge
Head Regulator of Research channel at RD 38+000,UCC,Gujranwala,UCC,Lahore,32.25721465,74.26937404,Regulator
Head Regulator of Nurpur Disty at RD 40+300,UCC,Gujranwala,UCC,Lahore,32.25289836,74.26762174,Disty
DR Bridge at RD 40+500,UCC,Gujranwala,UCC,Lahore,32.25183808,74.26875145,Bridge
Head Regulator of kamoki Disty at RD 41+180,UCC,Gujranwala,UCC,Lahore,32.25037432,74.26878028,Disty
Nandipur R.H at RD 42+200,UCC,Gujranwala,UCC,Lahore,32.24542195,74.26812741,Other
Nandipur feeder at RD 43+000,UCC,Gujranwala,UCC,Lahore,32.24453768,74.26794211,Feeder
Syphon spilway for power at RD 43+000,UCC,Gujranwala,UCC,Lahore,32.24483114,74.26670468,Syphon
Power House site at RD 44+000,UCC,Gujranwala,UCC,Lahore,32.24206747,74.26758432,Other
Research Outfall at RD 46+000,UCC,Gujranwala,UCC,Lahore,32.23630586,74.26637731,Other
VR Bridge at RD 51+340,UCC,Gujranwala,UCC,Lahore,32.22379735,74.25790301,Bridge
VR Bridge at RD 64+340,UCC,Gujranwala,UCC,Lahore,32.19336272,74.23674488,Bridge
VR Bridge at RD 71+500,UCC,Gujranwala,UCC,Lahore,32.17630507,74.2253283,Bridge
Inlet at RD 71+714,UCC,Gujranwala,UCC,Lahore,32.17530753,74.22484834,Inlet
DR Bridge at RD 77+000,UCC,Gujranwala,UCC,Lahore,32.16149959,74.22254583,Bridge
VR Bridge at RD 82+352,UCC,Gujranwala,UCC,Lahore,32.14751589,74.21695109,Bridge
DR Bridge at RD 92+973,UCC,Gujranwala,UCC,Lahore,32.11871675,74.21053923,Bridge
P.W Rly Bridge at RD 97+132,UCC,Gujranwala,UCC,Lahore,32.10938609,74.20283986,Bridge
AR Bridge at RD 102+100,UCC,Gujranwala,UCC,Lahore,32.10053956,74.19154174,Bridge
Foot Bridge at RD 107+533,UCC,Gujranwala,UCC,Lahore,32.07345365,74.19502436,Bridge
VR Bridge at RD 118+140,UCC,Gujranwala,UCC,Lahore,32.05412788,74.19832439,Bridge
5.22 Fall and VR Bridge at RD 128+000,UCC,Gujranwala,UCC,Lahore,32.02960847,74.20450369,Bridge
0.06 Fall and DR Bridge at RD 139+165,UCC,Gujranwala,UCC,Lahore,32.00252668,74.18875554,Bridge
VR Bridge at RD 148+669,UCC,Gujranwala,UCC,Lahore,31.98573992,74.16526389,Bridge
3.0 Fall and DR Bridge at RD 164+400,UCC,Gujranwala,UCC,Lahore,31.94894368,74.14018728,Bridge
VR Bridge at RD 177+913,UCC,Gujranwala,UCC,Lahore,31.91337912,74.12775164,Bridge
Foot Bridge at RD 190+000,UCC,Gujranwala,UCC,Lahore,31.88072093,74.12857341,Bridge
VR Bridge at RD 200+000,UCC,Gujranwala,UCC,Lahore,31.85348662,74.13654396,Bridge
Pro Power Channel At RD 217+870,UCC,Gujranwala,UCC,Lahore,31.8013102,74.12049487,Other
Outfall of trail race at RD 227+916,UCC,Gujranwala,UCC,Lahore,31.78602098,74.11679843,Other
Motorway Crossing at RD 246+247,UCC,Gujranwala,UCC,Lahore,31.73089762,74.10329938,Other
Railway Bridge at RD 258+322,UCC,Gujranwala,UCC,Lahore,31.6978425,74.09619084,Bridge
2.0 Fall and DR Bridge at RD 266+000,UCC,Gujranwala,UCC,Lahore,31.67719324,74.09391575,Bridge
Foot Bridge at RD275+000,UCC,Gujranwala,UCC,Lahore,31.64515694,74.09830459,Bridge
8.0 Fall and VR Bridge at RD 283+100,UCC,Gujranwala,UCC,Lahore,31.63157071,74.1026305,Bridge
GT Road Bridge at RD 98+778,UCC,Gujranwala,UCC,Lahore,32.10662237,74.19881172,Bridge
Pedistrian Bridge,Thal Canal Main Line Lower,Kalabagh,Thal,Sargodha,31.81120229,71.1806153,Bridge
Fall Structure,Thal Canal Main Line Lower,Kalabagh,Thal,Sargodha,31.75518764,71.16434455,Fall Structure
Fall Structure,Thal Canal Main Line Lower,Kalabagh,Thal,Sargodha,31.7206014,71.14945569,Fall Structure
Offtaking disty,Thal Canal Main Line Lower,Kalabagh,Thal,Sargodha,31.72065224,71.14966832,Disty
Offtaking disty,Thal Canal Main Line Lower,Kalabagh,Thal,Sargodha,31.72066287,71.14924113,Disty
Offtaking disty,Thal Canal Main Line Lower,Kalabagh,Thal,Sargodha,31.72082099,71.14919849,Disty
ESCAPE CHANEL HEADREGULATOR,BRBD Link Canal,Pasrur Link Sialkot,UCC,Lahore,31.7321518,74.46998384,Regulator
RAVI SYPHON CONTROL STRUCTURE,BRBD Link Canal,Pasrur Link Sialkot,UCC,Lahore,31.72268166,74.47019596,Syphon
VR BRIDGE,BRBD Link Canal,Pasrur Link Sialkot,UCC,Lahore,31.67637983,74.48271335,Bridge
JANDIALA VR BRIDGE,BRBD Link Canal,Pasrur Link Sialkot,UCC,Lahore,31.65614341,74.48627006,Bridge
DRG INLET,BRBD Link Canal,Pasrur Link Sialkot,UCC,Lahore,32.35968169,74.29679617,Inlet
Cattle Ghat,BRBD Link Canal,Pasrur Link Sialkot,UCC,Lahore,32.35607855,74.30216012,Other
DRG Syphon,BRBD Link Canal,Pasrur Link Sialkot,UCC,Lahore,32.34477767,74.32188828,Syphon
Foot Bridge,BRBD Link Canal,Pasrur Link Sialkot,UCC,Lahore,32.34513187,74.32223608,Bridge
Pipe Crossing,BRBD Link Canal,Pasrur Link Sialkot,UCC,Lahore,32.33387845,74.33398438,Other
BRBD Link Canal,BRBD Link Canal,Pasrur Link Sialkot,UCC,Lahore,32.36061556,74.29434458,Other
Bombanwala Headworks,BRBD Link Canal,Pasrur Link Sialkot,UCC,Lahore,32.36054431,74.2938247,Other
Head Regulator,Thal Canal Main Line Lower,Kalabagh,Thal,Sargodha,32.51025823,71.55425309,Regulator
RLY BRIDGE,Thal Canal Main Line Lower,Kalabagh,Thal,Sargodha,32.4616745,71.52339921,Bridge
VR BRIDGE,Thal Canal Main Line Lower,Kalabagh,Thal,Sargodha,32.46001986,71.52241309,Bridge
DR BRIDGE,Thal Canal Main Line Lower,Kalabagh,Thal,Sargodha,32.44493121,71.51338833,Bridge
VR BRDIGE,Thal Canal Main Line Lower,Kalabagh,Thal,Sargodha,32.43178207,71.50551909,Other
VR BRIDGE,Thal Canal Main Line Lower,Kalabagh,Thal,Sargodha,32.39552529,71.48385849,Bridge
AQUA DUCT & ALLUWALI ROAD BRIDGE,Thal Canal Main Line Lower,Kalabagh,Thal,Sargodha,32.38717178,71.47863534,Bridge
DR BRIDGE,Thal Canal Main Line Lower,Kalabagh,Thal,Sargodha,32.38470188,71.47735954,Bridge
OFF TAKING CANAL,Thal Canal Main Line Lower,Kalabagh,Thal,Sargodha,32.38393197,71.47735137,Off Taking Canal
OFF TAKING DISTY,Thal Canal Main Line Lower,Kalabagh,Thal,Sargodha,32.36708973,71.4665188,Disty
VR BRIDGE,Thal Canal Main Line Lower,Kalabagh,Thal,Sargodha,32.35754596,71.46115499,Bridge
Fall Structure,Thal Canal Main Line Lower,Kalabagh,Thal,Sargodha,32.34287763,71.45246071,Fall Structure
Off Taking Canal,Thal Canal Main Line Lower,Kalabagh,Thal,Sargodha,32.34292274,71.45284557,Off Taking Canal
Off  Taking Canal,Thal Canal Main Line Lower,Kalabagh,Thal,Sargodha,32.34283736,71.45269292,Other
Off Taking Canal,Thal Canal Main Line Lower,Kalabagh,Thal,Sargodha,32.34314197,71.45220218,Off Taking Canal
Off taking Canal,Thal Canal Main Line Lower,Kalabagh,Thal,Sargodha,32.34300726,71.4521304,Off Taking Canal
Off taking disty,Thal Canal Main Line Lower,Kalabagh,Thal,Sargodha,32.196233,71.34748717,Disty
off taking disty,Thal Canal Main Line Lower,Kalabagh,Thal,Sargodha,32.19636771,71.34755491,Disty
Head Regulator,Thal Canal Main Line Lower,Kalabagh,Thal,Sargodha,32.51025823,71.55425309,Regulator
VR Bridge,Thal Canal Main Line Lower,Kalabagh,Thal,Sargodha,32.30796825,71.43156717,Bridge
VR Bridge,Thal Canal Main Line Lower,Kalabagh,Thal,Sargodha,32.28611318,71.41545572,Bridge
VR Bridge,Thal Canal Main Line Lower,Kalabagh,Thal,Sargodha,32.25651078,71.39315594,Bridge
VR Bridge,Thal Canal Main Line Lower,Kalabagh,Thal,Sargodha,32.23521186,71.37639978,Bridge
VR Bridge,Thal Canal Main Line Lower,Kalabagh,Thal,Sargodha,32.2200503,71.36454908,Bridge
Fall Structure,Thal Canal Main Line Lower,Kalabagh,Thal,Sargodha,32.19610857,71.34770454,Fall Structure
DR Bridge,Thal Canal Main Line Lower,Kalabagh,Thal,Sargodha,32.15391437,71.32819702,Bridge
VR Bridge,Thal Canal Main Line Lower,Kalabagh,Thal,Sargodha,32.12020193,71.31069138,Bridge
Fall Structure,Thal Canal Main Line Lower,Kalabagh,Thal,Sargodha,32.0925061,71.29627195,Fall Structure
off taking canal,Thal Canal Main Line Lower,Kalabagh,Thal,Sargodha,32.09242526,71.29653683,Off Taking Canal
off taking canal,Thal Canal Main Line Lower,Kalabagh,Thal,Sargodha,32.09273211,71.29607557,Off Taking Canal
off taking canal,Thal Canal Main Line Lower,Kalabagh,Thal,Sargodha,32.09262668,71.29608955,Off Taking Canal
Head Regulator,Thal Canal Main Line Lower,Kalabagh,Thal,Sargodha,32.51025823,71.55425309,Regulator
VR Bridge,Thal Canal Main Line Lower,Kalabagh,Thal,Sargodha,32.05450014,71.27225058,Bridge
VR Bridge,Thal Canal Main Line Lower,Kalabagh,Thal,Sargodha,32.02340524,71.25717174,Bridge
off Taking disty,Thal Canal Main Line Lower,Kalabagh,Thal,Sargodha,32.0031644,71.24878833,Disty
Fall Structure,Thal Canal Main Line Lower,Kalabagh,Thal,Sargodha,31.99075939,71.24462568,Fall Structure
Off taking Canal,Thal Canal Main Line Lower,Kalabagh,Thal,Sargodha,31.99078586,71.24487487,Off Taking Canal
Off Taking Canal,Thal Canal Main Line Lower,Kalabagh,Thal,Sargodha,31.99113767,71.24502889,Off Taking Canal
Fall Structure,Thal Canal Main Line Lower,Kalabagh,Thal,Sargodha,31.95774555,71.23392691,Fall Structure
VR Bridge,Thal Canal Main Line Lower,Kalabagh,Thal,Sargodha,31.95675733,71.23360516,Bridge
Fall Structure,Thal Canal Main Line Lower,Kalabagh,Thal,Sargodha,31.92517617,71.23161527,Fall Structure
VR Bridge,Thal Canal Main Line Lower,Kalabagh,Thal,Sargodha,31.92287034,71.23161456,Bridge
Fall Structure,Thal Canal Main Line Lower,Kalabagh,Thal,Sargodha,31.86160925,71.21047773,Fall Structure
Qureshi disty offtake,Thal Canal Main Line Lower,Kalabagh,Thal,Sargodha,31.8616755,71.21069461,Disty
Head Regulator,Thal Canal Main Line Lower,Kalabagh,Thal,Sargodha,32.51025823,71.55425309,Regulator
RLY BRIDGE,Thal Canal Main Line Lower,Kalabagh,Thal,Sargodha,32.4616745,71.52339921,Bridge
VR BRIDGE,Thal Canal Main Line Lower,Kalabagh,Thal,Sargodha,32.46001986,71.52241309,Bridge
DR BRIDGE,Thal Canal Main Line Lower,Kalabagh,Thal,Sargodha,32.44493121,71.51338833,Bridge
VR BRDIGE,Thal Canal Main Line Lower,Kalabagh,Thal,Sargodha,32.43178207,71.50551909,Other
VR BRIDGE,Thal Canal Main Line Lower,Kalabagh,Thal,Sargodha,32.39552529,71.48385849,Bridge
AQUA DUCT & ALLUWALI ROAD BRIDGE,Thal Canal Main Line Lower,Kalabagh,Thal,Sargodha,32.38717178,71.47863534,Bridge
DR BRIDGE,Thal Canal Main Line Lower,Kalabagh,Thal,Sargodha,32.38470188,71.47735954,Bridge
OFF TAKING CANAL,Thal Canal Main Line Lower,Kalabagh,Thal,Sargodha,32.38393197,71.47735137,Off Taking Canal
OFF TAKING DISTY,Thal Canal Main Line Lower,Kalabagh,Thal,Sargodha,32.36708973,71.4665188,Disty
VR BRIDGE,Thal Canal Main Line Lower,Kalabagh,Thal,Sargodha,32.35754596,71.46115499,Bridge
Fall Structure,Thal Canal Main Line Lower,Kalabagh,Thal,Sargodha,32.34287763,71.45246071,Fall Structure
Off Taking Canal,Thal Canal Main Line Lower,Kalabagh,Thal,Sargodha,32.34292274,71.45284557,Off Taking Canal
Off  Taking Canal,Thal Canal Main Line Lower,Kalabagh,Thal,Sargodha,32.34283736,71.45269292,Other
Off Taking Canal,Thal Canal Main Line Lower,Kalabagh,Thal,Sargodha,32.34314197,71.45220218,Off Taking Canal
Off taking Canal,Thal Canal Main Line Lower,Kalabagh,Thal,Sargodha,32.34300726,71.4521304,Off Taking Canal
Off taking disty,Thal Canal Main Line Lower,Kalabagh,Thal,Sargodha,32.196233,71.34748717,Disty
off taking disty,Thal Canal Main Line Lower,Kalabagh,Thal,Sargodha,32.19636771,71.34755491,Disty
Head Regulator,Thal Canal Main Line Lower,Kalabagh,Thal,Sargodha,32.51025823,71.55425309,Regulator
RLY BRIDGE,Thal Canal Main Line Lower,Kalabagh,Thal,Sargodha,32.4616745,71.52339921,Bridge
VR BRIDGE,Thal Canal Main Line Lower,Kalabagh,Thal,Sargodha,32.46001986,71.52241309,Bridge
DR BRIDGE,Thal Canal Main Line Lower,Kalabagh,Thal,Sargodha,32.44493121,71.51338833,Bridge
VR BRDIGE,Thal Canal Main Line Lower,Kalabagh,Thal,Sargodha,32.43178207,71.50551909,Other
VR BRIDGE,Thal Canal Main Line Lower,Kalabagh,Thal,Sargodha,32.39552529,71.48385849,Bridge
AQUA DUCT & ALLUWALI ROAD BRIDGE,Thal Canal Main Line Lower,Kalabagh,Thal,Sargodha,32.38717178,71.47863534,Bridge
DR BRIDGE,Thal Canal Main Line Lower,Kalabagh,Thal,Sargodha,32.38470188,71.47735954,Bridge
OFF TAKING CANAL,Thal Canal Main Line Lower,Kalabagh,Thal,Sargodha,32.38393197,71.47735137,Off Taking Canal
OFF TAKING DISTY,Thal Canal Main Line Lower,Kalabagh,Thal,Sargodha,32.36708973,71.4665188,Disty
VR BRIDGE,Thal Canal Main Line Lower,Kalabagh,Thal,Sargodha,32.35754596,71.46115499,Bridge
Fall Structure,Thal Canal Main Line Lower,Kalabagh,Thal,Sargodha,32.34287763,71.45246071,Fall Structure
Off Taking Canal,Thal Canal Main Line Lower,Kalabagh,Thal,Sargodha,32.34292274,71.45284557,Off Taking Canal
Off Taking Canal,Thal Canal Main Line Lower,Kalabagh,Thal,Sargodha,32.34283736,71.45269292,Off Taking Canal
Off Taking Canal,Thal Canal Main Line Lower,Kalabagh,Thal,Sargodha,32.34314197,71.45220218,Off Taking Canal
Off taking Canal,Thal Canal Main Line Lower,Kalabagh,Thal,Sargodha,32.34300726,71.4521304,Off Taking Canal
Off taking disty,Thal Canal Main Line Lower,Kalabagh,Thal,Sargodha,32.196233,71.34748717,Disty
off taking disty,Thal Canal Main Line Lower,Kalabagh,Thal,Sargodha,32.19636771,71.34755491,Disty
Fall Structure,Thal Canal Main Line Lower,Kalabagh,Thal,Sargodha,32.19612844,71.34769427,Fall Structure
OLD CHAKRALI MINOR,BRBD Link Canal,Pasrur Link Sialkot,UCC,Lahore,31.96029303,74.60994568,Minor
VR BRIDGE,BRBD Link Canal,Pasrur Link Sialkot,UCC,Lahore,31.94804077,74.6095104,Bridge
INTAKE CANAL,BRBD Link Canal,Pasrur Link Sialkot,UCC,Lahore,31.94787781,74.60919294,Other
VR BRIDGE,BRBD Link Canal,Pasrur Link Sialkot,UCC,Lahore,31.93588682,74.60408995,Bridge
BRB FALL STRUCTURE,BRBD Link Canal,Pasrur Link Sialkot,UCC,Lahore,31.90993728,74.58247797,Fall Structure
OLD SHAHDRA CANAL,BRBD Link Canal,Pasrur Link Sialkot,UCC,Lahore,31.9100162,74.58312248,Other
VR BRIDGE,BRBD Link Canal,Pasrur Link Sialkot,UCC,Lahore,31.88666921,74.55624209,Bridge
GUJRAN MINOR OUTLET,BRBD Link Canal,Pasrur Link Sialkot,UCC,Lahore,31.88114389,74.55130821,Outlet
NEW SHAHDARA MINOR OUTLET,BRBD Link Canal,Pasrur Link Sialkot,UCC,Lahore,31.86750115,74.54090049,Outlet
VR BRIDGE,BRBD Link Canal,Pasrur Link Sialkot,UCC,Lahore,31.86262471,74.53651345,Bridge
VR BRIDGE,BRBD Link Canal,Pasrur Link Sialkot,UCC,Lahore,31.84898634,74.52533202,Bridge
VR BRIDGE,BRBD Link Canal,Pasrur Link Sialkot,UCC,Lahore,31.83364999,74.51395379,Bridge
KALA KHATAI MINOR OUTLET,BRBD Link Canal,Pasrur Link Sialkot,UCC,Lahore,31.82214497,74.50577898,Outlet
VR BRIDGE,BRBD Link Canal,Pasrur Link Sialkot,UCC,Lahore,31.81895846,74.50404452,Bridge
VR BRIDGE,BRBD Link Canal,Pasrur Link Sialkot,UCC,Lahore,31.79558689,74.48978273,Bridge
PAKHIALA MINOR OUTLET,BRBD Link Canal,Pasrur Link Sialkot,UCC,Lahore,31.76978042,74.47946971,Outlet
VR BRIDGE,BRBD Link Canal,Pasrur Link Sialkot,UCC,Lahore,31.75840173,74.47519835,Bridge
CANAL OUTLET,BRBD Link Canal,Pasrur Link Sialkot,UCC,Lahore,31.74621358,74.47046062,Outlet
MINOR OUTLET,BRBD Link Canal,Pasrur Link Sialkot,UCC,Lahore,31.65563447,74.48651426,Outlet
GOHAWA MINOR,BRBD Link Canal,Pasrur Link Sialkot,UCC,Lahore,31.57811464,74.50251319,Minor
OUTLET,BRBD Link Canal,Pasrur Link Sialkot,UCC,Lahore,31.57844202,74.50247872,Outlet
FALL STRUCTURE,BRBD Link Canal,Pasrur Link Sialkot,UCC,Lahore,31.57800633,74.50295762,Fall Structure
VR BRIDGE,BRBD Link Canal,Pasrur Link Sialkot,UCC,Lahore,31.57115513,74.50170195,Bridge
VR BRIDGE,BRBD Link Canal,Pasrur Link Sialkot,UCC,Lahore,31.5437035,74.50254518,Bridge
VR BRIDGE,BRBD Link Canal,Pasrur Link Sialkot,UCC,Lahore,31.51296904,74.50424407,Bridge
MINOR OUTLET,BRBD Link Canal,Pasrur Link Sialkot,UCC,Lahore,31.49651308,74.50567182,Outlet
BRIDGE,BRBD Link Canal,Pasrur Link Sialkot,UCC,Lahore,31.48081901,74.50623254,Bridge
AQUEDUCT,BRBD Link Canal,Pasrur Link Sialkot,UCC,Lahore,31.44471626,74.50471062,Aqueduct
FALL STRUCTURE,BRBD Link Canal,Pasrur Link Sialkot,UCC,Lahore,31.43686244,74.5052029,Fall Structure
KARBATH MINOR,BRBD Link Canal,Pasrur Link Sialkot,UCC,Lahore,31.43065955,74.50523489,Minor
CANAL OUTLET,BRBD Link Canal,Pasrur Link Sialkot,UCC,Lahore,31.40600742,74.50798569,Outlet
BRANCH CANAL,BRBD Link Canal,Pasrur Link Sialkot,UCC,Lahore,31.40549287,74.50733559,Branch Canal
FALL STRUCTURE,BRBD Link Canal,Pasrur Link Sialkot,UCC,Lahore,31.40547096,74.50768186,Fall Structure
VR BRIDGE,BRBD Link Canal,Pasrur Link Sialkot,UCC,Lahore,31.39295965,74.50940735,Bridge
VR BRIDGE,BRBD Link Canal,Pasrur Link Sialkot,UCC,Lahore,31.35544535,74.50907239,Bridge
DRG SYPHON,BRBD Link Canal,Pasrur Link Sialkot,UCC,Lahore,31.33860017,74.50848595,Syphon
